productName,productUrl,packSize,productRating,numberOfRating,actualPrice,discountPercent,offerPrice
Savlon Antiseptic Disinfectant Liquid,https://www.1mg.com/otc/savlon-antiseptic-disinfectant-liquid-otc156989,bottle of 1000 ml Liquid,4.5,825 ratings,₹310,12% off,₹271
Dabur Honey Squeezy Buy 1 Get 1 Free,https://www.1mg.com/otc/dabur-honey-squeezy-buy-1-get-1-free-otc374425,bottle of 400 gm Paste,4.5,940 ratings,₹330,16% off,₹276
New Mederma Advanced Plus Scar Gel,https://www.1mg.com/otc/new-mederma-advanced-plus-scar-gel-otc536559,tube of 10 gm Gel,3.9,101 ratings,₹485,6% off,₹453
Cetaphil DAM Daily Advance Ultra Hydrating Lotion All Skin Types,https://www.1mg.com/otc/cetaphil-dam-daily-advance-ultra-hydrating-lotion-all-skin-types-otc600768,tube of 100 gm Lotion,4.5,178 ratings,₹435,11% off,₹388
Naturolax -A Powder Tasty Orange,https://www.1mg.com/otc/naturolax-a-powder-tasty-orange-otc448486,jar of 300 gm Powder,4.5,153 ratings,₹299,10% off,₹269
Parachute 100% Pure Coconut Oil,https://www.1mg.com/otc/parachute-100-pure-coconut-oil-otc624673,bottle of 300 ml Oil,4.6,72 ratings,₹128,10% off,₹115
Trehalube Eye Drop,https://www.1mg.com/otc/trehalube-eye-drop-otc370162,bottle of 10 ml Eye Drop,4.7,69 ratings,₹425,22% off,₹332
Axiom Karela Jamun Juice,https://www.1mg.com/otc/axiom-karela-jamun-juice-otc339601,bottle of 1 Ltr Juice,4.2,359 ratings,₹300,11% off,₹266
Parachute 100% Pure Coconut Oil,https://www.1mg.com/otc/parachute-100-pure-coconut-oil-otc549811,bottle of 600 ml Oil,4.6,72 ratings,₹261,13% off,₹227
Threptin High-Calorie Protein Chocolate Diskette,https://www.1mg.com/otc/threptin-high-calorie-protein-chocolate-diskette-otc72536,Tin of 275 gm Diskette,4.4,194 ratings,₹452,14% off,₹389
Glucon-D Instant Energy Health Drink Regular,https://www.1mg.com/otc/glucon-d-instant-energy-health-drink-regular-otc330615,box of 1 kg Powder,4.4,240 ratings,₹180,12% off,₹157
Baidyanath Karela Jamun Juice,https://www.1mg.com/otc/baidyanath-karela-jamun-juice-otc349167,bottle of 1 Ltr Juice,4.2,22 ratings,₹300,10% off,₹270
Burnol Cream,https://www.1mg.com/otc/burnol-cream-otc135122,tube of 10 gm Cream,4.6,191 ratings,₹53.9,20% off,₹43
Aptivate Syrup Pineapple,https://www.1mg.com/otc/aptivate-syrup-pineapple-otc63368,bottle of 175 ml Syrup,4.5,140 ratings,₹126,8% off,₹116
Sri Sri Tattva Karela Jamun Juice,https://www.1mg.com/otc/sri-sri-tattva-karela-jamun-juice-otc330739,bottle of 1000 ml Juice,4.4,638 ratings,₹280,15% off,₹238
Dabur Lal Tail,https://www.1mg.com/otc/dabur-lal-tail-otc174076,bottle of 500 ml Oil,4.3,423 ratings,₹400,34% off,₹262
Lemolate Gold  Ayurvedic Cough Syrup,https://www.1mg.com/otc/lemolate-gold-ayurvedic-cough-syrup-otc562502,bottle of 100 ml Syrup,4.7,9 ratings,₹76,31% off,₹52
Lupizyme Plus Syrup Pineapple,https://www.1mg.com/otc/lupizyme-plus-syrup-pineapple-otc162836,bottle of 200 ml Syrup,4.6,27 ratings,₹125,9% off,₹113
Palmolive Aroma Absolute Relax Bodywash Shower Gel,https://www.1mg.com/otc/palmolive-aroma-absolute-relax-bodywash-shower-gel-otc496475,bottle of 250 ml Body Wash,4.2,16 ratings,₹199,15% off,₹169
Pravek-T Herbal Slimming Tea (2gm Each),https://www.1mg.com/otc/pravek-t-herbal-slimming-tea-2gm-each-otc360676,box of 30 tea bags,4.1,12 ratings,₹300,18% off,₹246
Fibre-X Sat-Isabgol Powder,https://www.1mg.com/otc/fibre-x-sat-isabgol-powder-otc282948,box of 200 gm Powder,4.2,11 ratings,₹285.5,26% off,₹211
Dr. Morepen Aid Adhesive First Aid Dressing,https://www.1mg.com/otc/dr.-morepen-aid-adhesive-first-aid-dressing-otc617167,jar of 100 bandages,-,-,₹250,30% off,₹175
