offer_code,sku,brand,name,price,sale_price,url,product_rating,is_bestseller
a7a41bc9c3a226eb,N36225012A,Generic,Yoga Foam Roller 30centimeter ,170.0,,yoga-foam-roller-30centimeter,,False
d78acba7c71a0c9e,N43426458A,Generic,Gym Sack Drawstring Backpack Water-Resistant 43x33x1cm ,61.0,,gym-sack-drawstring-backpack-water-resistant-43x33x1cm,,False
dc11929efc212b0c,N43426835A,Generic,Storage Bag 28x16x3cm ,78.0,,storage-bag-28x16x3cm,,False
a7cd74489f78b40f,N37626581A,Generic,Foldable Waterproof Outdoor Picnic Mat 2x1.5X1meter ,90.0,,foldable-waterproof-outdoor-picnic-mat-2x1-5x1meter,,False
af2fd5492d0cb76c,N41184854A,Generic,Thickened Yoga Mat Multi-functional Non-slip Yoga Mats 1830mm*610mm*10mm Blue 60x15x15cm ,45.0,25.0,thickened-yoga-mat-multi-functional-non-slip-yoga-mats-1830mm-610mm-10mm-blue-60x15x15cm,,False
c4e1b15838aa196f,N36225004A,Generic,Yoga Foam Roller ,240.6,,yoga-foam-roller,"{'value': 4.5, 'count': 2}",False
aebfe5033ca87dfb,N42326408A,Generic,Portable Cotton Yoga Mat Sling Belt Strap Shoulder Carrier Fitness Supplies 20 cm ,199.65,,portable-cotton-yoga-mat-sling-belt-strap-shoulder-carrier-fitness-supplies-20-cm,,False
b0cb2c265232768e,N49105181A,Generic,High Waist Yoga Leggings ,99.0,65.0,high-waist-yoga-leggings,,False
b8ce6c5a10cb5bff,N43426167A,Generic,100-Piece Compressed Disposable Face Towel 25x17x6cm ,49.75,,100-piece-compressed-disposable-face-towel-25x17x6cm,,False
a3498141425c5f0e,N43426650A,Generic,Women Hooded Sport Coat Long Sleeve Zipper Pocket 24x15x5cm ,304.25,,women-hooded-sport-coat-long-sleeve-zipper-pocket-24x15x5cm,,False
d7e7e3880f42d08d,N34152036A,Generic,Aerobics And Yoga Mat 61 x 183centimeter ,45.0,22.9,aerobics-and-yoga-mat-61-x-183centimeter,,False
e88a91b793d1d19b,N44770446A,Generic,"3-Piece Best Pilates Towel 103x59, 20x25cm ",350.0,,3-piece-best-pilates-towel-103x59-20x25cm,,False
b2b3ca31abcaebdc,N40661941A,Generic,Yoga Resistance Band 15x10x1cm ,147.9,,yoga-resistance-band-15x10x1cm,,False
d7735ea77e5cfa4f,N44860765A,Generic,Gym Eercise Swiss Fitness Pregnancy Birthing Injury Sciatica Yoga Ball 65cm ,35.0,,gym-eercise-swiss-fitness-pregnancy-birthing-injury-sciatica-yoga-ball-65cm,,False
c223b70691253f2e,N40877290A,Generic,Reaction Ball 5.5cm ,14.05,,reaction-ball-5-5cm,,False
fe553432f7e2981a,N43426163A,Generic,2-Piece Kayak Marine Boat Paddle Clip Holder 15.2x3.5x3.3cm ,74.15,26.65,2-piece-kayak-marine-boat-paddle-clip-holder-15-2x3-5x3-3cm,,False
fed22b345f1074dc,N36225120A,Generic,Adjustable Yoga Mat Strap 62.9 x 1.4inch ,160.85,,adjustable-yoga-mat-strap-62-9-x-1-4inch,,False
c786b1346ca6051f,N37816660A,Generic,Portable Yoga Mat 15 cm ,55.0,,portable-yoga-mat-15-cm,,False
ce8ee4ac100d505e,N37816662A,Generic,Portable Yoga Mat 15 cm ,75.0,,portable-yoga-mat-15-cm,,False
e4a8c00648c25e6f,N36265441A,Generic,Pack Of 3 Outdoor Pilates Yoga Balls Set 20 x 6.5 x 15centimeter ,61.0,,pack-of-3-outdoor-pilates-yoga-balls-set-20-x-6-5-x-15centimeter,,False
b31a2fa6ada4e24f,N44712181A,Generic,Yoga Floor Mate 3millimeter ,35.0,,yoga-floor-mate-3millimeter,,False
ce09465e3ceb758b,N34976188A,Generic,Sweat Absorbent Non-Slip Yoga Socks ,29.5,,sweat-absorbent-non-slip-yoga-socks,,False
cc94d5ba999c8bec,N49979472A,Generic,4-Piece Gym Rings Swing ,999.0,177.0,4-piece-gym-rings-swing,,False
b1bfc690eb56904b,N36225115A,Generic,Yoga Stretching Strap With Metal Ring 10feet ,35.55,,yoga-stretching-strap-with-metal-ring-10feet,,False
bcdd8d9240c0a9de,N22815230A,Generic,Anti Burst Gym Exercise Swiss Yoga Fitness Ball Pregnancy Birthing 95centimeter ,118.0,,anti-burst-gym-exercise-swiss-yoga-fitness-ball-pregnancy-birthing-95centimeter,"{'value': 5, 'count': 3}",False
ddfe5a25f12c458f,N42459950A,Generic,Solid Color Mesh Cooling Towel 20*10*20cm ,16.0,,solid-color-mesh-cooling-towel-20-10-20cm,"{'value': 5, 'count': 1}",False
e85378b8dede426c,N43426436A,Generic,Foam Cervical Collar Neck Brace For Neck Pain Relief 28x10x6cm ,310.4,,foam-cervical-collar-neck-brace-for-neck-pain-relief-28x10x6cm,,False
c410aae9abf9fedb,N40662015A,Generic,Yoga Rubber Band ,147.85,,yoga-rubber-band,,False
c9a16638082cd9cc,N43098985A,Generic,Latex Rope Stretch Pull Resistance Ring 20 x 20 x 20cm ,50.9,,latex-rope-stretch-pull-resistance-ring-20-x-20-x-20cm,,False
c758673e328b6dbf,N36224988A,Generic,Yoga Massage Roller ,19.5,,yoga-massage-roller,"{'value': 5, 'count': 2}",False
d6933aa753b22a2d,N37017877A,Generic,Yoga Muscle Back Massage EVA Foam Roller ,20.0,,yoga-muscle-back-massage-eva-foam-roller,,False
